Posicion deseada en X,Posición deseada en Y,Posicion deseada en Z,Rotacion deseada en X,Rotacion deseada en Y,Rotacion deseada en Z,Tiempo en posicion
-10,0,0,0,,0,0,0
-10,0,0,0,0,0,1
-8,0,41,0,0,0,11
-6,0,42,0,0,0,15
-6,0,42,0,0,0,17
-4,-4,42,0,0,0.785398163,21
-4,-4,42,0,0,0.785398163,23
0,-5,42,0,0,1.570796327,27
0,-5,42,0,0,1.570796327,29
4,-4,42,0,0,2.35619449,33
4,-4,42,0,0,2.35619449,35
5,0,42,0,0,3.141592654,39
5,0,42,0,0,3.141592654,41
4,4,42,0,0,3.926990817,45
4,4,42,0,0,3.926990817,47
0,5,42,0,0,4.71238898,51
0,5,42,0,0,4.71238898,53
-4,4,42,0,0,5.497787144,57
-4,4,42,0,0,5.497787144,59
-6,0,42,0,0,6.283185307,63
-6,0,42,0,0,6.283185307,65
-8,0,41,0,0,6.283185307,69
-10,0,0,0,0,6.283185307,79
-10,0,0,0,0,6.283185307,81
